airline_sentiment,text
negative,long delayed boarding get free drink gettingthirsty
neutral,team offer inflight access journal digital journal
positive,fabulous thank much looking forward taking skies
positive,love imagine dragons much eould die got tickets
neutral,im flying one right minute
negative,first good idea thatthis would happen cancelled flight earlier amateurish plan
neutral,also want naming rights first child fly home visit mother avoid winter depression
negative,flight waiting minutes rsw waiting weight balance clearance come let us leave
negative,guys lost bag ski gear flew nyc ski buy new stuff tomorrow
negative,sufficiently sorry actually anything guess systems presumably beyond reproach reform
negative,thats answer
negative,maybe long trip late flight night amp queues baggage claims two terminals good thought paid instead
negative,guys get much many customers fucking badly
neutral,know
neutral,brought way across country today see
positive,saved day lost costumer jetblue makingthingseasy feelbetter
neutral,scott need good book suggestion
neutral,okee doke
negative,flight chicago houston hours pretzels peanuts seriously passed
negative,due gate agents missed connecting flight mexico citynot happy customer aa lets correct
neutral,clt left gate next clt need help
negative,go blue dont go back
positive,amazing best follow please follow back✌️
negative,double comment phl anywhere south florida gone gone gone hello us air
positive,thanks
negative,always fun get screwed earlier flight isnt full crummyservice whydidntiflysouthwest goodluckamericanair
positive,hey thats sexy tattoo got left engine jetbae
negative,cltgtsfo first desert snack basket incoming time what’s
negative,spent hour morning hold customer support want confirmed flight taken care
negative,switch airlines eat difference insubstantial cancelled flight plans sat amp sun
negative,yes got gate specifically asked seats discouraging walk past crew
positive,best flight attendant ever
neutral,going flying nashville deicer short planes tomorrow morning
negative,ha flight ctl delayed going miss connection please transfer another airline asap
negative,paid choice seat choice big man next seat oldseatnocushion worstflight nohelponboard
negative,late flight future flights train staff better handle emergency situations ground staff customer service
neutral,would go italy visit relatives see house dad left passed
negative,luggage severely dentedmissing wheel coming baggage claim san luggage agent miranda think wasnt help
negative,would great get callback agent disconnected trying put hold waiting connectfor
negative,yes works firefox everything finish purchase button turns gray never submits couple weeks
negative,transportation going city getting ny sometime wed im sorry thats gonna cut
negative,rang wait minutes book ticket vendor fix site
neutral,start daily flights columbus oh oakland avgeek
neutral,please help best friend get tickets destinationdragons much thank
negative,hours im patient dont call back feature pay someone answer phone tweet onhold
negative,bag state didnt travel airports dont fly looks like itll never show
negative,glad see know keep money pockets thanks voucher return lost bag
negative,looks like running day still cant get phone follow dm info
negative,please call late flightr acceptable neither hold hrs onholdwith
negative,ridiculous refunded whenever get final destination
negative,miserable airline loss revenue reflection go extinct merger delays inevitable
